experiment,variable,value,prompt,seed,clip_score,gen_time_sec,image_path
exp1_cfg_scale,cfg_scale,7,a futuristic city skyline with flying cars,123,0.6665,9.18,results\exp1_cfg_scale_cfg_scale_7_seed123_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,7,a futuristic city skyline with flying cars,999,0.6676,9.22,results\exp1_cfg_scale_cfg_scale_7_seed999_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,7,a cozy cabin in a snowy forest,42,0.6532,9.17,results\exp1_cfg_scale_cfg_scale_7_seed42_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,7,a cozy cabin in a snowy forest,123,0.65,9.28,results\exp1_cfg_scale_cfg_scale_7_seed123_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,7,a cozy cabin in a snowy forest,999,0.658,9.11,results\exp1_cfg_scale_cfg_scale_7_seed999_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,10,a majestic lion in the savanna at sunset,42,0.6709,9.25,results\exp1_cfg_scale_cfg_scale_10_seed42_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,10,a majestic lion in the savanna at sunset,123,0.6539,9.07,results\exp1_cfg_scale_cfg_scale_10_seed123_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,10,a majestic lion in the savanna at sunset,999,0.6699,9.29,results\exp1_cfg_scale_cfg_scale_10_seed999_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,10,a futuristic city skyline with flying cars,42,0.6652,9.13,results\exp1_cfg_scale_cfg_scale_10_seed42_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,10,a futuristic city skyline with flying cars,123,0.6668,9.51,results\exp1_cfg_scale_cfg_scale_10_seed123_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,10,a futuristic city skyline with flying cars,999,0.6604,9.23,results\exp1_cfg_scale_cfg_scale_10_seed999_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,10,a cozy cabin in a snowy forest,42,0.661,9.15,results\exp1_cfg_scale_cfg_scale_10_seed42_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,10,a cozy cabin in a snowy forest,123,0.647,9.12,results\exp1_cfg_scale_cfg_scale_10_seed123_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,10,a cozy cabin in a snowy forest,999,0.6583,9.25,results\exp1_cfg_scale_cfg_scale_10_seed999_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,15,a majestic lion in the savanna at sunset,42,0.6737,9.62,results\exp1_cfg_scale_cfg_scale_15_seed42_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,15,a majestic lion in the savanna at sunset,123,0.6585,9.44,results\exp1_cfg_scale_cfg_scale_15_seed123_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,15,a majestic lion in the savanna at sunset,999,0.6688,9.88,results\exp1_cfg_scale_cfg_scale_15_seed999_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,15,a futuristic city skyline with flying cars,42,0.6656,9.42,results\exp1_cfg_scale_cfg_scale_15_seed42_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,15,a futuristic city skyline with flying cars,123,0.6734,9.65,results\exp1_cfg_scale_cfg_scale_15_seed123_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,15,a futuristic city skyline with flying cars,999,0.6627,9.72,results\exp1_cfg_scale_cfg_scale_15_seed999_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,15,a cozy cabin in a snowy forest,42,0.6583,9.53,results\exp1_cfg_scale_cfg_scale_15_seed42_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,15,a cozy cabin in a snowy forest,123,0.6538,9.68,results\exp1_cfg_scale_cfg_scale_15_seed123_a_cozy_cabin_in_a_sn.png
